SM_MC_PR	SSMM_MC_RAMPRO	1722	0	0	ZDM1X011	ZSKX8024	0	1	6	409	31	ZDM10031	1	15	38	A	1	0	CRC	0	131072
SM_MC_DR	SSMM_MC_RAMDAT	1723	0	0	ZDM1X012	ZSKX8025	0	1	5	409	32	ZDM10032	1	15	38	A	1	0	CRC	0	131072
SM_DS_PR	SSMM_DSP_PROM	1728	0	0	NOOP____	ZDM10028	0	0	2	409	33	ZDM10038	1	15	0	A	1	0	CRC	0	32768
SM_DS_EE	SSMM_DSP_EEPROM	1729	0	0	ZDM10017	ZSKX8026	0	2	2	409	34	ZDM10037	1	15	114	A	1	0	CRC	0	262144
SM_MM_1	SSMM_MEMMO_1	1724	0	0	ZDM10013	ZSKX8027	0	3	4	409	35	ZDM10033	1	1	57	A	1	0	CRC	0	335544320
SM_MM_2	SSMM_MEMMO_2	1725	0	0	ZDM10014	ZSKX8028	0	3	4	409	36	ZDM10034	1	1	57	A	1	0	CRC	0	335544320
SM_MM_3	SSMM_MEMMO_3	1726	0	0	ZDM10015	ZSKX8029	0	3	4	409	37	ZDM10035	1	1	57	A	1	0	CRC	0	335544320
SM_ALL	SSMM_ALL_MEM	1727	0	0	ZDM10016	ZDM10026	0	3	4	409	39	ZDM10036	1	1	57	A	1	0	CRC	0	999999999
AL_COD	ALICE_CODE_AREA	1410	0	0	ZAL00601	ZAL00602	0	1	2	1481	40	ZAL00603	1	1	114	A	1	0	CRC	0	32768
AL_EEP	ALICE_EEPROM	1410	0	0	ZAL00601	ZAL00602	0	1	2	1481	41	ZAL00603	1	1	114	A	1	128	CRC	0	65536
AL_DETC	ALICE_DETECTOR	1410	0	0	ZAL00601	ZAL00602	0	1	2	1481	42	ZAL00603	1	1	114	A	1	16318	CRC	0	32768
AL_DATA	ALICE_DATA_AREA	1410	0	0	ZAL00601	ZAL00602	0	1	2	1481	43	ZAL00603	1	1	114	A	1	0	CRC	0	32768
CN_RAM	CONSERT_RAM_	1428	0	0	ZCN00602	ZCN00605	0	1	2	953	60	ZCN00609	1	1	114	A	1	0	CRC	20480	131072
CS_DAT_R	COSIMA_RAM_DATA	3465	0	0	ZCSX0602	ZCS70605	0	1	4	1017	70	ZCS70609	1	1	57	A	1	0	CRC	0	32768
CS_PRO_R	COSIMA_RAM_PROG	3467	0	0	ZCSX1602	ZCS71605	0	1	6	1017	71	ZCS71609	1	1	38	A	1	0	CRC	0	32768
