DACG0001	1	1	NACW0P00	C	-0.002	0.002	1	0	1
DACG0001	2	1	NACW0P01	C	-0.002	0.002	3	0	1
DACG0001	3	1	NACW0P02	C	-0.002	0.002	6	0	1
DACG0002	1	1	NACX0001	C	-1.5	1.5	1	0	1
DACG0002	2	1	NACX0002	C	-1.5	1.5	3	0	1
DACG0002	3	1	NACX0003	C	-1.5	1.5	6	0	1
DACG0003	1	1	NACX0001	C	-0.15	0.15	1	0	1
DACG0003	2	1	NACX0002	C	-0.15	0.15	3	0	1
DACG0003	3	1	NACX0003	C	-0.15	0.15	6	0	1
DACG0004	1	1	NACX0001	C	-0.015	0.015	1	0	1
DACG0004	2	1	NACX0002	C	-0.015	0.015	3	0	1
DACG0004	3	1	NACX0003	C	-0.015	0.015	6	0	1
DACG0005	1	1	NACX0001	C	-6	6	1	0	1
DACG0005	2	1	NACX0002	C	-6	6	3	0	1
DACG0005	3	1	NACX0003	C	-6	6	6	0	1
DACG0006	1	1	NACW0P0B	C	-0.005	0.005	1	0	1
DACG0006	2	1	NACW0X0G	C	-0.005	0.005	3	0	1
DACG0008	1	1	NACW1L0C	C	-40	40	1	0	1
DACG0008	2	1	NACW1L0D	C	-40	40	3	0	1
DACG0008	3	1	NACW1L15	C	-40	40	6	0	1
DACG0008	4	1	NACW1L16	C	-40	40	7	0	1
DACG0008	5	2	NACW1L06	C	0	100000	1	0	1
DACG0008	6	2	NACW1L0Z	C	0	100000	3	0	1
DACG0008	7	3	NACW0X0E	C	0	10	1	0	1
DACG0008	8	4	NACW0L01	C	-1	2	1	0	1
DACG0009	1	1	NAWG0036	C	-5	5	1	0	1
DACG0010	1	1	NAAD6014	C	0	4000	1	0	1
DACG0010	2	1	NAAD6024	C	0	4000	3	0	1
DACG0010	3	1	NAAD6034	C	0	4000	6	0	1
DACG0010	4	1	NAAD6044	C	0	4000	7	0	1
DACG0011	1	1	NACW0G09	C	-40	40	1	0	1
DACG0011	2	1	NACW0G0L	C	-40	40	3	0	1
DACG0011	3	1	NACW0G0X	C	-40	40	6	0	1
DACG0011	4	1	NACW0G19	C	-40	40	7	0	1
DACG0012	1	1	NACW0G06	C	-40	40	1	0	1
DACG0012	2	1	NACW0G0I	C	-40	40	3	0	1
DACG0012	3	1	NACW0G0U	C	-40	40	6	0	1
DACG0012	4	1	NACW0G16	C	-40	40	7	0	1
DACG0013	1	1	NACW0G1C	C	-0.02	0.05	1	0	1
DACG0013	2	1	NACW0G1D	C	-0.02	0.05	3	0	1
DACG0013	3	1	NACW0G1E	C	-0.02	0.05	6	0	1
DACG0013	4	1	NACW0G1F	C	-0.02	0.05	7	0	1
DACG0014	1	1	NTSA0054	C	-20	50	1	0	1
DACG0014	2	1	NTSA0079	C	-20	50	3	0	1
DACG0014	3	1	NTSA0055	C	-20	50	6	0	1
DACG0014	4	1	NTSA0205	C	-20	50	7	0	1
DACG0014	5	2	NTSA0056	C	-20	50	1	0	1
DACG0014	6	2	NTSA0080	C	-20	50	3	0	1
DACG0014	7	2	NTSA0057	C	-20	50	6	0	1
DACG0014	8	2	NTSA0206	C	-20	50	7	0	1
DACG0015	1	1	NACP1610	C	-0.02	0.02	1	0	1
DACG0015	2	1	NACP1611	C	-0.02	0.02	3	0	1
DACG0016	1	1	NACP2610	C	-0.02	0.02	1	0	1
DACG0016	2	1	NACP2611	C	-0.02	0.02	3	0	1
DACG0017	1	1	NACW0G05	C	-0.03	0.03	1	0	1
DACG0017	2	1	NACW0G0H	C	-0.03	0.03	3	0	1
DACG0017	3	1	NACW0G0T	C	-0.03	0.03	6	0	1
DACG0017	4	1	NACW0G15	C	-0.03	0.03	7	0	1
DACG0020	1	1	NACW1306	C	-4	4	1	0	1
DACG0020	2	1	NACW1307	C	-4	4	3	0	1
DACG0021	1	1	NACX0021	C	-200	200	1	0	1
DACG0021	2	1	NACX0020	C	-200	200	3	0	1
DACG0030	1	1	NACW1204	C	-5	2	1	0	1
DACG0030	2	1	NACW120O	C	-5	2	3	0	1
DACG0030	3	2	NACW1205	C	-5	2	1	0	1
DACG0030	4	2	NACW120P	C	-5	2	3	0	1
DACG0031	1	1	NACX0010	C	-180	20	1	0	1
DACG0031	2	2	NACX0011	C	-260	80	1	0	1
DACG0040	1	1	NAWG0014	C	-100	100	1	0	1
DACG0040	2	P	NAWG0013	C	-100	100	1	0	1
DACG0041	1	1	NAWG0014	C	-4	4	1	0	1
DACG0041	2	P	NAWG0013	C	-4	4	1	0	1
DACG0042	1	1	NAWG0014	C	-0.4	0.4	1	0	1
DACG0042	2	P	NAWG0013	C	-0.4	0.4	1	0	1
DACG0043	1	1	NACW0K0D	C	-0.3	0.3	1	0	1
DACG0043	2	1	NACW0K0E	C	-0.3	0.3	3	0	1
DACG0044	1	1	NACW0X0E	C	0	12	1	0	1
DACG0044	2	2	NACW0X0G	C	0	0.0003	1	0	1
DACG0047	1	1	NACW1D09	C	0	3	1	0	1
DACG0047	2	2	NACW1D0A	C	0	3000	1	0	1
DACG0048	1	1	NACW0M06	C	0	1	1	0	1
DACG0049	1	1	NACW1D0O	C	-1	1	1	0	1
DACG0049	2	1	NACW1D0P	C	-1	1	3	0	1
DACG0049	3	1	NACW1D0Q	C	-1	1	6	0	1
DACG0050	1	1	NACW0M00	C	-0.4	0.4	1	0	1
DACG0050	2	1	NACW0M01	C	-0.4	0.4	3	0	1
DACG0050	3	1	NACW0M02	C	-0.4	0.4	6	0	1
DACG0051	1	1	NACW0N03	C	-0.05	0.05	1	0	1
DACG0051	2	1	NACW0N04	C	-0.05	0.05	3	0	1
DACG0051	3	1	NACW0N05	C	-0.05	0.05	6	0	1
DACG0052	1	1	NACW0T0E	C	0	3.5	1	0	1
DACG0052	2	1	NACW0T0F	C	0	3.5	3	0	1
DACG0052	3	1	NACW0T0G	C	0	3.5	6	0	1
DACG0053	1	1	NACW0U06	C	-0.05	0.05	1	0	1
DACG0053	2	1	NACW0U07	C	-0.05	0.05	3	0	1
DACG0053	3	1	NACW0U08	C	-0.05	0.05	6	0	1
