NACAG390	2	H	0	0		1
NACAG3A0	2	H	0	0		1
NACAG3B0	2	H	0	0		1
NACAG3C0	2	H	0	0		1
NACAG3D0	2	H	0	0		1
NACAG3E0	2	H	0	0		1
NACAG3F0	2	H	0	0		1
NACAG400	2	H	0	0		1
NACAG410	2	H	0	0		1
NACAG420	2	H	0	0		1
NACAG430	2	H	0	0		1
NACAG440	2	H	0	0		1
NACAGAA0	2	H	0	0		1
NACAGAB0	2	H	0	0		1
NACAGAC0	2	H	0	0		1
NACAGAD0	2	H	0	0		1
NACAGAE0	2	H	0	0		1
NACAGAF0	2	H	0	0		1
NACAGB00	2	H	0	0		1
NACAGB10	2	H	0	0		1
NACAGB20	2	H	0	0		1
NACAGB30	2	H	0	0		1
NACAGB40	2	H	0	0		1
NACAGB50	2	H	0	0		1
NACAGB60	2	H	0	0		1
NACAGB70	2	H	0	0		1
NACAGB80	2	H	0	0		1
NACAGB90	2	H	0	0		1
NACAGBA0	2	H	0	0		1
NACAGBB0	2	H	0	0		1
NACAGBC0	2	H	0	0		1
NACAGBD0	2	H	0	0		1
NACAGBE0	2	H	0	0		1
NACAGBF0	2	H	0	0		1
NACAGC00	2	H	0	0		1
NACAH1C0	2	H	0	0		1
NACAH1D0	2	H	0	0		1
NACAH1E0	2	H	0	0		1
NACAH1F0	2	H	0	0		1
NACAH200	2	H	0	0		1
NACAH210	2	H	0	0		1
NACAH220	2	H	0	0		1
NACAH230	2	H	0	0		1
NACAH240	2	H	0	0		1
NACAH250	2	H	0	0		1
NACAH260	2	H	0	0		1
NACAH270	2	H	0	0		1
NACAH280	2	H	0	0		1
NACAH290	2	H	0	0		1
NACAH2A0	2	H	0	0		1
NACAH2B0	2	H	0	0		1
NACAH2C0	2	H	0	0		1
NACAH2D0	2	H	0	0		1
NACAH2E0	2	H	0	0		1
NACAH2F0	2	H	0	0		1
NACAH300	2	H	0	0		1
NACAH310	2	H	0	0		1
NACAH320	2	H	0	0		1
NACAH330	2	H	0	0		1
NACAH340	2	H	0	0		1
NACAH350	2	H	0	0		1
NACAH360	2	H	0	0		1
NACAH370	2	H	0	0		1
NACAH380	2	H	0	0		1
NACAH390	2	H	0	0		1
NACAH3A0	2	H	0	0		1
NACAH3B0	2	H	0	0		1
NACAH3C0	2	H	0	0		1
NACAH3D0	2	H	0	0		1
NACAH3E0	2	H	0	0		1
NACAH3F0	2	H	0	0		1
NACAH400	2	H	0	0		1
NACAH410	2	H	0	0		1
NACAH420	2	H	0	0		1
NACAH430	2	H	0	0		1
NACAH440	2	H	0	0		1
NACAHAA0	2	H	0	0		1
NACAHAB0	2	H	0	0		1
NACAHAC0	2	H	0	0		1
NACAHAD0	2	H	0	0		1
NACAHAE0	2	H	0	0		1
NACAHAF0	2	H	0	0		1
NACAHB00	2	H	0	0		1
NACAHB10	2	H	0	0		1
NACAHB20	2	H	0	0		1
NACAHB30	2	H	0	0		1
NACAHB40	2	H	0	0		1
NACAHB50	2	H	0	0		1
NACAHB60	2	H	0	0		1
NACAHB70	2	H	0	0		1
NACAHB80	2	H	0	0		1
NACAHB90	2	H	0	0		1
NACAHBA0	2	H	0	0		1
NACAHBB0	2	H	0	0		1
NACAHBC0	2	H	0	0		1
NACAHBD0	2	H	0	0		1
NACAHBE0	2	H	0	0		1
NACAHBF0	2	H	0	0		1
NACAHC00	2	H	0	0		1
NACAJ1C0	2	H	0	0		1
NACAJ1D0	2	H	0	0		1
NACAJ1E0	2	H	0	0		1
NACAJ1F0	2	H	0	0		1
NACAJ200	2	H	0	0		1
NACAJ210	2	H	0	0		1
NACAJ220	2	H	0	0		1
NACAJ230	2	H	0	0		1
NACAJ240	2	H	0	0		1
NACAJ250	2	H	0	0		1
NACAJ260	2	H	0	0		1
NACAJ270	2	H	0	0		1
NACAJ280	2	H	0	0		1
NACAJ290	2	H	0	0		1
NACAJ2A0	2	H	0	0		1
NACAJ2B0	2	H	0	0		1
NACAJ2C0	2	H	0	0		1
NACAJ2D0	2	H	0	0		1
NACAJ2E0	2	H	0	0		1
NACAJ2F0	2	H	0	0		1
NACAJ300	2	H	0	0		1
NACAJ310	2	H	0	0		1
NACAJ320	2	H	0	0		1
NACAJ330	2	H	0	0		1
NACAJ340	2	H	0	0		1
NACAJ350	2	H	0	0		1
NACAJ360	2	H	0	0		1
NACAJ370	2	H	0	0		1
NACAJ380	2	H	0	0		1
NACAJ390	2	H	0	0		1
NACAJ3A0	2	H	0	0		1
NACAJ3B0	2	H	0	0		1
NACAJ3C0	2	H	0	0		1
NACAJ3D0	2	H	0	0		1
NACAJ3E0	2	H	0	0		1
NACAJ3F0	2	H	0	0		1
NACAJ400	2	H	0	0		1
NACAJ410	2	H	0	0		1
NACAJ420	2	H	0	0		1
NACAJ430	2	H	0	0		1
NACAJ440	2	H	0	0		1
NACAJAA0	2	H	0	0		1
NACAJAB0	2	H	0	0		1
NACAJAC0	2	H	0	0		1
NACAJAD0	2	H	0	0		1
NACAJAE0	2	H	0	0		1
NACAJAF0	2	H	0	0		1
NACAJB00	2	H	0	0		1
NACAJB10	2	S	60	60		1
NACAJB20	2	H	0	0		1
NACAJB30	2	H	0	0		1
NACAJB40	2	H	0	0		1
NACAJB50	2	H	0	0		1
NACAJB60	2	H	0	0		1
NACAJB70	2	H	0	0		1
NACAJB80	2	H	0	0		1
NACAJB90	2	H	0	0		1
NACAJBA0	2	H	0	0		1
NACAJBB0	2	H	0	0		1
NACAJBC0	2	H	0	0		1
NACAJBD0	2	H	0	0		1
NACAJBE0	2	H	0	0		1
NACAJBF0	2	H	0	0		1
NACAJC00	2	H	0	0		1
NACD1002	2	H	0	0		1
NACD1003	2	H	0	0		1
NACD1004	2	H	0	0		1
NACD1005	2	H	0	0		1
NACD1006	2	H	0	0		1
NACD1007	2	H	0	0		1
NACD1008	2	H	0	0		1
NACD1009	2	H	0	0		1
NACD1010	2	H	0	0		1
NACD1011	2	H	0	0		1
NACD1012	2	H	0	0		1
NACD1502	2	H	0	0		1
NACD1503	2	H	0	0		1
NACD1504	2	H	0	0		1
NACD1505	2	H	0	0		1
NACD1506	2	H	0	0		1
NACD1507	2	H	0	0		1
NACD1508	2	H	0	0		1
NACD1509	2	H	0	0		1
NACD1510	2	H	0	0		1
NACD1511	2	H	0	0		1
NACD1512	2	H	0	0		1
NACD2002	2	H	0	0		1
NACD2003	2	H	0	0		1
NACD2004	2	H	0	0		1
NACD2005	2	H	0	0		1
NACD2006	2	H	0	0		1
NACD2007	2	H	0	0		1
NACD2008	2	H	0	0		1
NACD2009	2	H	0	0		1
NACD2010	2	H	0	0		1
NACD2011	2	H	0	0		1
NACD2012	2	H	0	0		1
NACD2502	2	H	0	0		1
NACD2503	2	H	0	0		1
NACD2504	2	H	0	0		1
NACD2505	2	H	0	0		1
NACD2506	2	H	0	0		1
NACD2507	2	H	0	0		1
NACD2508	2	H	0	0		1
NACD2509	2	H	0	0		1
NACD2510	2	H	0	0		1
NACD2511	2	H	0	0		1
NACD2512	2	H	0	0		1
NACP1065	2	H	0.01	0.5		1
NACP1071	2	H	0	1023		1
NACP1072	2	H	1	1000		1
NACP1087	2	H	-273.15	226.55		1
NACP1088	2	H	-273.15	226.55		1
NACP1089	2	H	0	303		1
NACP1090	2	H	-7.49	7.5		1
NACP1091	2	H	-7.49	7.5		1
NACP1092	2	H	-7.49	7.5		1
NACP1093	2	H	-19.36	19.37		1
NACP1094	2	H	-27.47	27.48		1
NACP1095	2	H	-12.51	12.51		1
NACP1096	2	H	-27.47	27.48		1
NACP1097	2	H	-2.5	2.5		1
NACP1098	2	H	45	47		1
NACP1099	2	H	45	47		1
NACP1106	2	H	0	4095		1
NACP1302	2	H	0	0		1
NACP1303	2	H	0	1023		1
NACP1304	2	H	0	1023		1
NACP1325	2	H	0	350		1
NACP1326	2	H	0.0	5.0		1
NACP1330	2	H	-1.0	1.0		1
NACP1331	2	H	-1.0	1.0		1
NACP1332	2	H	-1.0	1.0		1
NACP1333	2	H	-1.0	1.0		1
NACP1337	2	H	45	47		1
NACP1339	2	H	0	3		1
NACP1340	2	H	0	50		1
NACP1341	2	H	0	50		1
NACP1342	2	H	0.0	5.0		1
NACP1343	2	H	0.0	5.0		1
NACP1345	2	H	0	4000		1
NACP1346	2	H	-1.0	1.0		1
NACP1347	2	H	-1.0	1.0		1
NACP1348	2	H	-1.0	1.0		1
NACP1353	2	H	1	10		1
NACP1392	2	H	1	5		1
NACP1565	2	H	1	3071		1
NACP1571	2	S	0	1023		1
NACP1587	2	H	-273.15	226.55		1
NACP1588	2	H	-273.15	226.55		1
NACP1589	2	H	0	303		1
NACP1590	2	H	-7.49	7.5		1
NACP1591	2	H	-7.49	7.5		1
NACP1592	2	H	-7.49	7.5		1
NACP1593	2	H	-19.36	19.37		1
NACP1594	2	H	-27.47	27.48		1
NACP1595	2	H	-12.51	12.51		1
NACP1596	2	H	-27.47	27.48		1
NACP1597	2	H	-2.5	2.5		1
NACP1598	2	H	151	153		1
NACP1599	2	H	151	153		1
NACP1606	2	S	0	4095		1
NACP1710	2	H	1	5		1
NACP1802	2	H	0	0		1
NACP1803	2	S	0	1023		1
NACP1804	2	S	0	1023		1
NACP1825	2	S	0	350		1
NACP1826	2	S	0.0	5.0		1
NACP1837	2	H	151	153		1
NACP1842	2	S	0.0	5.0		1
NACP1843	2	S	0.0	5.0		1
NACP1892	2	H	1	5		1
NACP2065	2	H	0.01	0.5		1
NACP2071	2	H	0	1023		1
NACP2072	2	H	1	1000		1
NACP2087	2	H	-273.15	226.55		1
NACP2088	2	H	-273.15	226.55		1
NACP2089	2	H	0	303		1
NACP2090	2	H	-7.49	7.5		1
NACP2091	2	H	-7.49	7.5		1
NACP2092	2	H	-7.49	7.5		1
NACP2093	2	H	-19.36	19.37		1
NACP2094	2	H	-27.47	27.48		1
NACP2095	2	H	-12.51	12.51		1
NACP2096	2	H	-27.47	27.48		1
NACP2097	2	H	-2.5	2.5		1
NACP2098	2	H	45	47		1
NACP2099	2	H	45	47		1
NACP2106	2	H	0	4095		1
NACP2302	2	H	0	0		1
NACP2303	2	H	0	1023		1
NACP2304	2	H	0	1023		1
NACP2325	2	H	0	350		1
NACP2326	2	H	0.0	5.0		1
NACP2330	2	H	-1.0	1.0		1
NACP2331	2	H	-1.0	1.0		1
NACP2332	2	H	-1.0	1.0		1
NACP2333	2	H	-1.0	1.0		1
NACP2337	2	H	45	47		1
NACP2339	2	H	0	3		1
NACP2340	2	H	0	50		1
NACP2341	2	H	0	50		1
NACP2342	2	H	0.0	5.0		1
NACP2343	2	H	0.0	5.0		1
NACP2345	2	H	0	4000		1
NACP2346	2	H	-1.0	1.0		1
NACP2347	2	H	-1.0	1.0		1
NACP2348	2	H	-1.0	1.0		1
NACP2353	2	H	1	10		1
NACP2392	2	H	1	5		1
NACP2565	2	H	1	3071		1
NACP2571	2	S	0	1023		1
NACP2587	2	H	-273.15	226.55		1
NACP2588	2	H	-273.15	226.55		1
NACP2589	2	H	0	303		1
NACP2590	2	H	-7.49	7.5		1
NACP2591	2	H	-7.49	7.5		1
NACP2592	2	H	-7.49	7.5		1
NACP2593	2	H	-19.36	19.37		1
NACP2594	2	H	-27.47	27.48		1
NACP2595	2	H	-12.51	12.51		1
NACP2596	2	H	-27.47	27.48		1
NACP2597	2	H	-2.5	2.5		1
NACP2598	2	H	151	153		1
NACP2599	2	H	151	153		1
NACP2606	2	S	0	4095		1
NACP2802	2	H	0	0		1
NACP2803	2	S	0	1023		1
NACP2804	2	S	0	1023		1
NACP2825	2	S	0	350		1
NACP2826	2	S	0.0	5.0		1
NACP2837	2	H	151	153		1
NACP2842	2	S	0.0	5.0		1
NACP2843	2	S	0.0	5.0		1
NACP2892	2	H	1	5		1
NACP9087	2	H	-273.15	226.55		1
NACP9088	2	H	-273.15	226.55		1
NACP9089	2	H	0	303		1
