AA1S201F	AOCMS-Start Memory Cell Acq at 8	4	C	ZAC13211	0	Y	R	00:00:05	00:00:05	R					N	N	N
AA1S201F	AOCMS-Disable HK Report Pckt gen	5	C	ZAC01250	1	Y	R	01:27:00	01:27:00	R					N	N	N
AA1S201F	AOCMS-Stop Memory Cell Acq at 8 	6	C	ZAC13213	0	Y	R	00:00:01	00:00:01	R					N	N	N
AA1S201G	Modify OBM ID 003 TWTA2 LCL curr	1	C	ZDMG0003	4	Y	A	00:00:00	00:00:00	A					N	N	N
AA1S201G	Modify OBM ID 004 TX2 X RF OUTPW	2	C	ZDMG0004	4	Y	R	00:00:01	00:00:01	R					N	N	N
AA1S201H	SendDemonRequest	1	C	ZSRU2010	3	Y	A	00:00:00	00:00:00	A					N	N	N
AA1S201H	SSMM-Stop Write Operation from U	2	C	ZDM10144	1	Y	R	00:05:00	00:05:00	R					N	N	N
AA1S201H	SSMM-Start Write Operation from 	3	C	ZDM10143	3	Y	R	00:05:00	00:05:00	R					N	N	N
AA1S201H	SendDemonRequest	4	C	ZSRU2010	3	Y	R	00:05:00	00:05:00	R					N	N	N
AA1S201I	SendDemonRequest	1	C	ZSRU2010	3	Y	A	00:00:00	00:00:00	A					N	N	N
AA1S201I	SSMM-Stop Write Operation from U	2	C	ZDM10144	1	Y	R	00:05:00	00:05:00	R					N	N	N
AA1S201I	SSMM-Start Write Operation from 	3	C	ZDM10143	3	Y	R	00:05:00	00:05:00	R					N	N	N
AA1S201I	SendDemonRequest	4	C	ZSRU2010	3	Y	R	00:05:00	00:05:00	R					N	N	N
AA1S201L	SendDemonRequest	1	C	ZSRU2010	3	Y	A	00:00:00	00:00:00	A					N	N	N
AA1S201L	SSMM-Stop Write Operation from U	2	C	ZDM10144	1	Y	R	00:02:00	00:02:00	R					N	N	N
AA1S201L	SSMM-Start Write Operation from 	3	C	ZDM10143	3	Y	R	00:01:00	00:01:00	R					N	N	N
AA1S201L	SendDemonRequest	4	C	ZSRU2010	3	Y	R	00:01:00	00:01:00	R					N	N	N
AA1S201M	SREM A ON. v08	1	S	ASEF001A	0	N	A	00:00:00	00:00:00	A					N	N	N
AA1S201M	SREM Accumulation v07	2	S	ASEF003A	4	N	R	00:10:00	00:10:00	R					N	N	N
AA1S201N	Enb/Disb FM Rec v07	1	S	AACF100C	2	N	A	00:00:00	00:00:00	A					N	N	N
AA1S201N	Enb/Disb FM Rec v07	2	S	AACF100C	2	N	R	00:00:01	00:00:01	R					N	N	N
AA1S201P	AOCMS-STR ORB Set auto start	1	C	ZAC20207	1	Y	A	00:00:00	00:00:00	A					N	N	N
AA2S200A	Enb/Disb FM Rec v08	1	S	AACF100C	2	N	A	00:00:00	00:00:00	A					N	N	N
AA2S200A	Enb/Disb FM Rec v08	2	S	AACF100C	2	N	R	00:00:01	00:00:01	R					N	N	N
