ZAC00327	C	1
ZAC00327	C	2
ZAC01100	C	1
ZAC01100	C	2
ZAC01150	C	1
ZAC01150	C	2
ZAC01200	C	1
ZAC01200	C	2
ZAC01250	C	1
ZAC01250	C	2
ZAC01301	C	1
ZAC01301	C	2
ZAC01302	C	1
ZAC01302	C	2
ZAC01307	C	1
ZAC01307	C	2
ZAC01351	C	1
ZAC01351	C	2
ZAC01352	C	1
ZAC01352	C	2
ZAC01371	C	1
ZAC01371	C	2
ZAC01372	C	1
ZAC01372	C	2
ZAC10011	C	1
ZAC10011	C	2
ZAC10012	C	1
ZAC10012	C	2
ZAC10014	C	1
ZAC10014	C	2
ZAC10021	C	1
ZAC10021	C	2
ZAC10022	C	1
ZAC10022	C	2
ZAC10023	C	1
ZAC10023	C	2
ZAC10024	C	1
ZAC10024	C	2
ZAC10031	C	1
ZAC10031	C	2
ZAC10032	C	1
ZAC10032	C	2
ZAC10033	C	1
ZAC10033	C	2
ZAC10034	C	1
ZAC10034	C	2
ZAC10060	C	1
ZAC10060	C	2
ZAC10070	C	1
ZAC10070	C	2
ZAC10080	C	1
ZAC10080	C	2
ZAC10091	C	1
ZAC10091	C	2
ZAC10092	C	1
ZAC10092	C	2
ZAC10093	C	1
ZAC10093	C	2
ZAC10100	C	1
ZAC10100	C	2
ZAC10110	C	1
ZAC10110	C	2
ZAC10170	C	1
ZAC10170	C	2
ZAC10201	C	1
ZAC10201	C	2
ZAC10211	C	1
ZAC10211	C	2
ZAC10221	C	1
ZAC10221	C	2
ZAC10231	C	1
ZAC10231	C	2
ZAC10241	C	1
ZAC10241	C	2
ZAC10242	C	1
ZAC10242	C	2
ZAC10251	C	1
ZAC10251	C	2
ZAC10271	C	1
ZAC10271	C	2
ZAC10281	C	1
ZAC10281	C	2
ZAC10291	C	1
ZAC10291	C	2
ZAC10292	C	1
ZAC10292	C	2
ZAC10301	C	1
ZAC10301	C	2
ZAC10311	C	1
ZAC10311	C	2
ZAC10312	C	1
ZAC10312	C	2
ZAC10321	C	1
ZAC10321	C	2
ZAC10511	C	1
ZAC10511	C	2
ZAC10512	C	1
ZAC10512	C	2
ZAC10514	C	1
ZAC10514	C	2
ZAC10521	C	1
ZAC10521	C	2
ZAC10522	C	1
ZAC10522	C	2
ZAC10523	C	1
ZAC10523	C	2
ZAC10524	C	1
ZAC10524	C	2
ZAC10531	C	1
ZAC10531	C	2
ZAC10532	C	1
ZAC10532	C	2
ZAC10533	C	1
ZAC10533	C	2
ZAC10534	C	1
ZAC10534	C	2
ZAC10560	C	1
ZAC10560	C	2
ZAC10570	C	1
ZAC10570	C	2
ZAC10580	C	1
ZAC10580	C	2
ZAC10591	C	1
ZAC10591	C	2
ZAC10592	C	1
ZAC10592	C	2
ZAC10593	C	1
ZAC10593	C	2
ZAC10600	C	1
ZAC10600	C	2
ZAC10610	C	1
