3100	0	0	off
3100	10	10	GSEP_Won
3100	129	129	WDP
3100	17	17	GSP
3100	33	33	FPSP
3100	5	5	GLEP
3100	65	65	FPAP_Woff
3100	66	66	FPAP_Won
3100	9	9	GSEP_Woff
3101	0	0	off
3101	1	1	SWP
3101	2	2	PIAE
3101	4	4	NDP
3101	8	8	SUP
3102	0	0	OffNeverUsed
3102	5	5	Tranquil
3102	6	6	SpinUP
3102	8	8	off
3103	37	37	GyrolessUsed
3103	41	41	Both_GLused
3103	42	42	Both_GSused
3103	50	50	GyroStellar
3103	64	64	off
3104	5	5	Damping
3104	6	6	Active
3104	8	8	Off
3105	10	10	Rotation
3105	12	12	Stabilis
3105	16	16	off
3105	9	9	StabEph
3106	0	0	-
3106	1	1	ON
3106	2	2	off
2881	0	0	OK
2881	1	1	mbx overflow
2881	2	2	ack overflow
2881	3	3	mem overflow
2881	4	4	invalid mbx
2882	0	0	kernel
2882	1	1	operability
2882	11	11	TM report
2882	13	13	ping mangt
2882	4	4	mem mangt
2882	5	5	time sync
967	0	0	Negative
967	1	1	Positive
968	0	0	NO_OST
968	1	1	OST_SET
969	0	0	OFF
969	1	1	ON
3157	0	0	Positive
3157	1	1	Negative
970	0	0	INACTIVE
970	1	1	ACTIVE
971	0	0	OK
971	1	1	RATE_EXCEED
972	0	0	NOK
972	1	1	OK
973	0	0	OK
973	1	1	NOK
974	0	0	GO
974	1	1	NO_GO
975	0	0	OK
975	1	1	NOK
3196	10486	10486	10-2
3196	105	105	10-4
976	1	1	open valv 1
976	128	128	close valv 4
976	16	16	open valv 3
976	2	2	close valv 1
976	32	32	close valv 3
976	4	4	open valv 2
976	64	64	open valv 4
976	8	8	close valv 2
977	1	1	open valv 5
977	128	128	close valv 8
977	16	16	open valv 7
977	2	2	close valv 5
977	32	32	close valv 7
977	4	4	open valv 6
977	64	64	open valv 8
977	8	8	close valv 6
978	1	1	open valv 9
978	128	128	close valv12
978	16	16	open valv11
978	2	2	close valv 9
978	32	32	close valv11
978	4	4	open valv 10
978	64	64	open valv12
978	8	8	close valv10
3229	1	1	X
3229	2	2	Y
3229	3	3	Z
979	0	0	FALSE
979	1	1	TRUE
980	0	0	Disabled
980	1	1	Enabled
