ACK	ACKNOWLEDGMENT TYPE	U
APID	APPLICATION ID	U
CHECKSUM	CHECKSUM TYPE	U
LENGTH	PACKET LENGTH	U
SSC	SOURCE SEQUENCE COUNTER	U
SUBTYPE	PACKET SUBTYPE	U
TYPE	PACKET TYPE	U
