1	1	-1	0		
1	2	20	16		
1	7	-1	0		
1	8	20	16		
3	25	17	8		
5	1	16	16		
5	2	16	16		
5	3	16	16		
5	4	16	16		
6	6	16	8		
6	10	16	8		
7	11	-1	0		
10	2	-1	0		
11	10	-1	0		
12	9	-1	0		
12	19	-1	0		
13	14	-1	0		
13	15	-1	0		
13	16	19	8		
14	4	-1	0		
15	6	-1	0		
15	13	-1	0		
17	2	-1	0		
18	2	-1	0		
20	3	-1	0		
20	12	-1	0		
20	13	-1	0		
20	14	-1	0		
20	15	-1	0		
128	3	-1	0		
130	1	-1	0		
130	2	-1	0		
130	10	-1	0		
130	11	-1	0		
130	12	-1	0		
130	13	-1	0		
141	5	-1	0		
143	6	-1	0		
146	1	-1	0		
146	2	-1	0		
146	3	-1	0		
146	4	-1	0		
151	5	-1	0		
153	6	-1	0		
155	4	-1	0		
156	1	-1	0		
156	2	-1	0		
160	4	-1	0		
160	6	-1	0		
161	2	-1	0		
162	4	-1	0		
162	7	-1	0		
162	10	-1	0		
162	12	-1	0		
162	16	-1	0		
176	2	-1	0		
176	5	-1	0		
176	11	-1	0		
176	12	-1	0		
176	16	-1	0		
176	17	-1	0		
176	21	-1	0		
190	20	-1	0		
190	21	-1	0		
190	29	-1	0		
128	4	-1	0		
146	5	-1	0		
189	5	18	32		
189	6	18	32		
189	1	18	32		
5	11	16	16		
5	12	16	16		
189	3	18	32		
189	4	18	32		
190	22	-1	0		
190	23	-1	0		
190	24	-1	0		
172	223	16	16		
189	60	18	32		
189	150	18	32		
